統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00013509,新南向不動產投資有限公司,桃園市觀音區大潭里大潭六街88號5樓,洪崑傑,1000000,114/02/24,115/08/04,一般補正案,H201010 一般投資業；H703100 不動產租賃業；H703090 不動產買賣業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,桃園市,變更,11508
00022612,厘米室內裝修工程有限公司,桃園市楊梅區文化街351巷13號4樓,呂牧兗,1000000,113/11/18,115/08/14,公司所在地,E801010 室內裝潢業；E801020 門窗安裝工程業；E801030 室內輕鋼架工程業；E801040 玻璃安裝工程業；E801070 廚具、衛浴設備安裝工程業；E901010 油漆工程業；E601020 電器安裝業；E603040 消防安全設備安裝工程業；E603050 自動控制設備工程業；E603090 照明設備安裝工程業,桃園市,變更,11508
00030367,鑫寶璽工程股份有限公司,桃園市中壢區龍昌路252巷45號,賴薪媛,2000000,114/01/07,115/08/19,公司所在地,E603120 噴砂工程業；E901010 油漆工程業；E903010 防蝕、防銹工程業；E599010 配管工程業；E601010 電器承裝業；E601020 電器安裝業；E603040 消防安全設備安裝工程業；E604010 機械安裝業；E605010 電腦設備安裝業；E801010 室內裝潢業,桃園市,變更,11508
00039120,富誠貨運有限公司,桃園市中壢區福州路257號地下1樓,余春鳳,25000000,113/11/05,115/08/31,公司所在地,G101061 汽車貨運業；G801010 倉儲業；IZ06010 理貨包裝業；G702010 船舶勞務承攬業；G409050 工業專用港或工業專用碼頭船舶貨物裝卸承攬業；EZ02010 起重工程業；IZ12010 人力派遣業；JZ99050 仲介服務業；JE01010 租賃業；IZ99990 其他工商服務業,桃園市,變更,11508
00046918,越騰室內裝修工程有限公司,桃園市桃園區中山里中山路777號1樓之5,楊宗修,1000000,113/11/19,115/08/13,公司所在地,E801060 室內裝修業；E801010 室內裝潢業；E801030 室內輕鋼架工程業；E801020 門窗安裝工程業；E801040 玻璃安裝工程業；E801070 廚具、衛浴設備安裝工程業；E599010 配管工程業；E901010 油漆工程業；E903010 防蝕、防銹工程業；EZ99990 其他工程業,桃園市,變更,11508
00047183,程揚土地開發有限公司,桃園市中壢區永園路一段502號,潘俊彥,3000000,113/09/12,115/08/28,一般補正案,F111090 建材批發業；F211010 建材零售業；F401010 國際貿易業；H701010 住宅及大樓開發租售業；H701020 工業廠房開發租售業；H701050 投資興建公共建設業；H701060 新市鎮、新社區開發業；H701070 區段徵收及市地重劃代辦業；H701090 都市更新整建維護業；H703090 不動產買賣業,桃園市,變更,11508
00051762,汕鈞工程有限公司,桃園市中壢區文平路70號10樓,阮廷強,300000,113/08/28,115/08/21,申登機關變更（遷入，含卷）,E599010 配管工程業；E603100 電焊工程業；E603110 冷作工程業；E604010 機械安裝業；E801010 室內裝潢業；E801020 門窗安裝工程業；E801070 廚具、衛浴設備安裝工程業；E901010 油漆工程業；E903010 防蝕、防銹工程業；EZ02010 起重工程業,桃園市,變更,11508
00052571,庭展空間設計有限公司,桃園市桃園區龍祥里國強二街277巷6弄5號(1樓）,張佑聖,300000,114/01/22,115/08/07,一般補正案,I503010 景觀設計業；I599990 其他設計業；E801010 室內裝潢業；I401010 一般廣告服務業；F205040 家具、寢具、廚房器具、裝設品零售業；F211010 建材零售業；E901010 油漆工程業；E603090 照明設備安裝工程業；E601020 電器安裝業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,桃園市,變更,11508
00063514,乙賞玩具有限公司,桃園市桃園區安東街85號一樓,黃富美,200000,113/10/18,115/08/07,一般補正案,F101070 漁具批發業；F101100 花卉批發業；F101130 蔬果批發業；F101990 其他農、畜、水產品批發業；F102020 食用油脂批發業；F102030 菸酒批發業；F102040 飲料批發業；F102050 茶葉批發業；F102170 食品什貨批發業；F102180 酒精批發業,桃園市,變更,11508
00064289,憶得包裝有限公司,桃園市大園區後厝里後厝三路30號,郭喬鈞,1000000,113/08/19,115/08/26,公司所營事業變更修正章程,F107190 塑膠膜、袋批發業；F199990 其他批發業；F401010 國際貿易業；C501060 木質容器製造業；C501040 組合木材製造業；F111090 建材批發業；F211010 建材零售業；IZ06010 理貨包裝業；G799990 其他運輸輔助業；G801010 倉儲業,桃園市,變更,11508
00066961,璟玉汽車有限公司,桃園市平鎮區環南路18號6樓之二,呂宜璟,300000,113/08/27,115/08/07,股東出資轉讓修正章程,JA01010 汽車修理業；JA01020 汽車拖吊業；JA01990 其他汽車服務業；JA02010 電器及電子產品修理業；JA02990 其他修理業；F114010 汽車批發業；F114030 汽、機車零件配備批發業；F114050 車胎批發業；F114990 其他交通運輸工具及其零件批發業；F113010 機械批發業,桃園市,變更,11508
00068757,泓泰聯合股份有限公司,桃園市中壢區高鐵站前西路一段268號十三樓之1,蔣興德,239607790,113/08/30,115/08/17,董事(常務董事.董事長)/監察人解任,F199010 回收物料批發業；I103060 管理顧問業；I102010 一般投資顧問業；C801990 其他化學材料製造業；C801010 基本化學工業；CA01990 其他非鐵金屬基本工業；CB01010 機械設備製造業；CB01030 污染防治設備製造業；CB01990 其他機械製造業；D101050 汽電共生業,桃園市,變更,11508
