統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
62074343,友孚國際事業有限公司,桃園市中壢區青心路230號5樓,"郭建云GUO,JIANYUN",6500000,115/07/30,,,F119010 電子材料批發業(限中華民國行業標準分類4642電子設備及其零組件批發業)；F401010 國際貿易業(限所登記營業項目對應之輸出入業),桃園市,設立,11508
62074370,英達仁科技有限公司,桃園市楊梅區頭湖里3鄰楊湖路一段773巷62弄13號,簡啟仁,30000,115/07/30,,,I102010 一般投資顧問業；I103060 管理顧問業；I199990 其他顧問服務業；F401010 國際貿易業；JZ99990 未分類其他服務業；F119010 電子材料批發業；F219010 電子材料零售業；F113050 電腦及事務性機器設備批發業；F213030 電腦及事務性機器設備零售業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,桃園市,設立,11508
62074391,舍予設計顧問有限公司,桃園市桃園區三民路3段316之1號,謝幼綾,1003000,115/07/30,,,H702010 建築經理業；H703090 不動產買賣業；H703100 不動產租賃業；H703110 老人住宅業；I103060 管理顧問業；I105010 藝術品諮詢顧問業；I199990 其他顧問服務業；I501010 產品設計業；I503010 景觀設計業；I504010 花藝設計業,桃園市,設立,11508
62074532,泓星國際投資有限公司,桃園市中壢區復興路50號12樓,薛鳳娥,2000000,115/07/30,,,H201010 一般投資業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,桃園市,設立,11508
62074596,德和號投資有限公司,桃園市中壢區復華街186巷53之1號4樓,姚良辰,1000000,115/07/31,,,H201010 一般投資業,桃園市,設立,11508
62074619,頎元科技有限公司,桃園市中壢區健行路98巷15之1號,汪昕樂,200000,115/07/31,,,F113050 電腦及事務性機器設備批發業；F113020 電器批發業；F213030 電腦及事務性機器設備零售業；F213040 精密儀器零售業；F113030 精密儀器批發業；F218010 資訊軟體零售業；F118010 資訊軟體批發業；F219010 電子材料零售業；F119010 電子材料批發業；F213080 機械器具零售業,桃園市,設立,11508
62074625,奇金池有限公司,桃園市中壢區中山東路一段345號6樓之一,郭金能,1181888,115/07/31,,,H201010 一般投資業；I103060 管理顧問業；I102010 一般投資顧問業；F401010 國際貿易業；I301010 資訊軟體服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,桃園市,設立,11508
62074651,東方香業有限公司,桃園市大溪區長興街2段152號,林品臻,1000000,115/08/03,,,F207030 清潔用品零售業；F107030 清潔用品批發業；F215020 礦石零售業；F115020 礦石批發業；F215010 首飾及貴金屬零售業；F115010 首飾及貴金屬批發業；F208040 化粧品零售業；F108040 化粧品批發業；F203010 食品什貨、飲料零售業；F102170 食品什貨批發業,桃園市,設立,11508
62074667,拓衡室內裝修設計有限公司,桃園市平鎮區廣興里廣明路71號五樓之2,劉瑋璇,1000000,115/08/03,,,E603040 消防安全設備安裝工程業；E603090 照明設備安裝工程業；E605010 電腦設備安裝業；E801010 室內裝潢業；E801020 門窗安裝工程業；E801030 室內輕鋼架工程業；E801040 玻璃安裝工程業；E801060 室內裝修業；E801070 廚具、衛浴設備安裝工程業；E901010 油漆工程業,桃園市,設立,11508
62074673,檀林有限公司,桃園市中壢區石頭里復興路122號4樓之1,林旻慶,300000,115/08/03,,,F111090 建材批發業；F105050 家具、寢具、廚房器具、裝設品批發業；F101070 漁具批發業；F101100 花卉批發業；F102050 茶葉批發業；F106060 寵物食品及其用品批發業；F106070 祭祀用品批發業；F107050 肥料批發業；F101120 觀賞魚批發業；F211010 建材零售業,桃園市,設立,11508
