統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00023794,囍繁股份有限公司,新竹市東區東園里忠孝路440號九樓之2,徐經野,100000,,115/08/17,補選董事(常務董事.董事長)/監察人,F115010 首飾及貴金屬批發業；F215010 首飾及貴金屬零售業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F204110 布疋、衣著、鞋、帽、傘、服飾品零售業；F108040 化粧品批發業；F208040 化粧品零售業；JZ99080 美容美髮服務業；F106070 祭祀用品批發業；F206060 祭祀用品零售業；F399040 無店面零售業,新竹市,變更,11508
00135545,熱創投資有限公司,新竹市北區湳中里武陵路155號2樓,鄭維緒,9000000,,115/08/10,增資,H201010 一般投資業,新竹市,變更,11508
00161846,雲夢有限公司,新竹市東區新莊街101-1號5樓,羅匡弘,41024040,,115/08/03,增資,H201010 一般投資業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,變更,11508
00189730,九鬼國際餐飲股份有限公司,新竹市香山區中隘里中華路六段799巷7弄6號一樓,謝嘉瑋,5000000,,115/08/10,一般補正案,C801010 基本化學工業；C801030 精密化學材料製造業；C802170 毒性及關注化學物質製造業；C805050 工業用塑膠製品製造業；CA01090 鋁鑄造業；CA01130 銅材軋延、伸線、擠型業；CA01990 其他非鐵金屬基本工業；CA02010 金屬結構及建築組件製造業；CA02990 其他金屬製品製造業；CA04010 表面處理業,新竹市,變更,11508
12670314,亞舍立科技股份有限公司,新竹市篤行路6-5號4樓,Russell J.Low,30000000,,115/08/25,改選董事/監察人(一人法人股東指派董事/監察人),CB01010 機械設備製造業；F113010 機械批發業；F213080 機械器具零售業；F401010 國際貿易業；CC01080 電子零組件製造業；E701030 電信管制射頻器材裝設工程業；F401021 電信管制射頻器材裝輸入業〈限無線電收發信機、無線電收信機、無線電發射機、工業科學醫療用研究．開發．製造及銷售下列產品:１、半導體設備之零組件２、為購買前項設備之客戶辦理操作．維修．訓練業務,新竹市,變更,11508
12878763,智普科技股份有限公司,新竹市力行六路6號8樓,鄭素芬,430753740,,115/08/14,董事長變更,CC01080 電子零組件製造業；I301010 資訊軟體服務業；F218010 資訊軟體零售業(限區外經營)；F119010 電子材料批發業(限區外經營)；F219010 電子材料零售業(限區外經營)；CE01030 光學儀器製造業；CC01120 資料儲存媒體製造及複製業；I501010 產品設計業；F601010 智慧財產權業；F401010 國際貿易業,新竹市,變更,11508
12901841,智微科技股份有限公司,新竹市科研路8號5樓之3,劉立國,710658500,,115/08/20,發行新股,I501010 產品設計業；I301010 資訊軟體服務業；F601010 智慧財產權業；IZ99990 其他工商服務業(積體電路測試)研究、開發、設計、製造及銷售下列產品:1.高速及無線傳輸介面、儲存裝置、網路通訊技術相關產品及矽智財及系統平台2.毫米波雷達物聯網裝置及矽智財3.人工智慧人機介面相關產品及矽智財,新竹市,變更,11508
13003917,金武陵國際設計有限公司,新竹市復中里民生路194號5樓之2,翁火勝,2000000,,115/08/26,股東出資轉讓修正章程,I401010 一般廣告服務業。；I503010 景觀、室內設計業。；J201030 技能技藝訓練業。,新竹市,變更,11508
13004943,國桓室內裝修有限公司,新竹市東區東園里公園路166號,蔡雲峰,10000000,,115/08/05,改推董事/董事長,E801010 室內裝潢業；E801060 室內裝修業；F211010 建材零售業；I503010 景觀、室內設計業；E601020 電器安裝業；E601010 電器承裝業；E604010 機械安裝業；E603010 電纜安裝工程業；E603020 電梯安裝工程業；E603040 消防安全設備安裝工程業,新竹市,變更,11508
16069953,九暘電子股份有限公司,新竹市光復路2段2巷47號10樓之1,謝清江,964138740,,115/08/18,改派董事/監察人,CC01080 電子零組件製造業；I501010 產品設計業；I301010 資訊軟體服務業；I301020 資料處理服務業；F119010 電子材料批發業；F219010 電子材料零售業；F401010 國際貿易業；F601010 智慧財產權業；F118010 資訊軟體批發業；JE01010 租賃業,新竹市,變更,11508
16075173,矽英科技股份有限公司,新竹市光復路2段2巷49之2號2樓,周穎傳,33000000,,115/08/07,董事/監察人持股變動報備,,新竹市,變更,11508
16130009,頎邦科技股份有限公司,新竹市力行五路3號,吳非艱,7445775390,,115/08/14,減資,CC01080 電子零組件製造業研究、開發、製造、銷售下列產品：1.金屬凸塊（Wafer Bumping Service）2.金凸塊（Gold Bump）3.錫鉛凸塊（Solder Bump）4.覆晶（Flip Chip）5.捲帶接合（TAB）6.捲帶式封裝載板（Tape）（限區外經營）,新竹市,變更,11508
16130388,嘉晶電子股份有限公司,新竹市東區篤行一路10號,徐建華,2903569030,,115/08/12,可轉換公司債換發新股,CC01080 電子零組件製造業；I501010 產品設計業；IZ99990 其他工商服務業；I199990 其他顧問服務業；F401010 國際貿易業；C801010 基本化學工業(限創新一路三號之承租戶)；F207200 化學原料零售業(限創新一路三號之承租戶)(一)研究、設計、開發、製造及銷售下列項目及其應用產品：1.磊晶矽晶圓及矽晶材料。2.藍寶石晶棒、晶圓及藍寶石基底矽磊晶(SOS)。,新竹市,變更,11508
16252902,茂達電子股份有限公司,新竹市篤行一路6號,陳泰銘,756335000,,115/08/20,註銷庫藏股減資,CC01080 電子零組件製造業一、研究、開發、生產、製造、銷售下列產品：1、半導體功率ＩＣ和其模組2、半導體功率元件和其模組3、智慧型功率ＩＣ和其模組4、無線及網路通訊ＩＣ5、光電驅動ＩＣ二、前述相關業務之諮詢和顧問,新竹市,變更,11508
16358428,基太克國際股份有限公司,新竹市東區公道五路二段83號2樓之2,李昶緯,50690290,,115/08/10,改選董事/監察人(一人法人股東指派董事/監察人),F401181 度量衡器輸入業；F113060 度量衡器批發業,新竹市,變更,11508
16420479,茂迅系統工程股份有限公司,新竹市香山區埔前里牛埔南路165號,宋文宗,202000000,,115/08/24,補繳規費,F206040 水器材料零售業；F213040 精密儀器零售業；F401010 國際貿易業；E599010 配管工程業；CA02990 其他金屬製品製造業；CC01990 其他電機及電子機械器材製造業；CE01010 一般儀器製造業；H703100 不動產租賃業；H201010 一般投資業；H202010 創業投資業,新竹市,變更,11508
16503725,宇安投資股份有限公司,新竹市中正路158號12樓之3,陳正宗,80000000,,115/08/12,改選董事/監察人(一人法人股東指派董事/監察人),H201010 一般投資業。,新竹市,變更,11508
16628020,台灣左岸物業有限公司,新竹市榮光里民族路16-1號,朱英旭,10000000,,115/08/10,股東出資轉讓修正章程,JA01020 汽車拖吊業；JA01990 其他汽車服務業（汽車清洗、裝潢）；J701040 休閒活動場館業；J101010 建築物清潔服務業；F301010 百貨公司業；F501010 餐廳業；G202010 停車場經營業；F109030 運動器材批發業；J801030 競技及休閒運動場館業,新竹市,變更,11508
16857774,勝璽投資股份有限公司,新竹市埔頂里埔頂路18號9樓之3,吳如梅,50000000,,115/08/27,補繳規費,H201010 一般投資業；I103060 管理顧問業,新竹市,變更,11508
22099110,台灣茂矽電子股份有限公司,新竹市研新一路1號,吳憲忠,1573352440,,115/08/19,減資,I301030 電子資訊供應服務業；CC01080 電子零組件製造業；CC01090 電池製造業；F401010 國際貿易業；E601010 電器承裝業；IG03010 能源技術服務業（一）研究、設計、發展、測試、製造及銷售下列產品：1.各種大型、超大型積體電路及其相關之零組件及系統產品2.太陽能電池及其相關之系統與產品3.無線射頻辨識晶片、標籤及其相關之系統與產品,新竹市,變更,11508
22099131,台灣積體電路製造股份有限公司,新竹市力行六路8號,魏哲家,259323700670,,115/08/21,經理人解任,CC01080 電子零組件製造業；CC01090 電池製造業；CC01040 照明設備製造業；IG03010 能源技術服務業；C801990 其他化學材料製造業；C802990 其他化學製品製造業；CA02990 其他金屬製品製造業；C805990 其他塑膠製品製造業；C801110 肥料製造業；CZ99990 未分類其他工業製品製造業,新竹市,變更,11508
22099548,旺宏電子股份有限公司,新竹市力行路16號,吳敏求,19818566380,,115/08/13,可轉換公司債換發新股,,新竹市,變更,11508
22099694,鈺創科技股份有限公司,新竹市科技五路6號,盧超群,3286367810,,115/08/19,發行新股,,新竹市,變更,11508
22099961,華騰科技股份有限公司,新竹市科技路5號5樓,王榮騰,187294920,,115/08/13,減資,I301010 資訊軟體服務業；F401010 國際貿易業研究，開發，生產，製造，銷售下列產品：1、電腦輔助設計合成及測試軟體2、電腦系統和線路板診斷測試系統3、前各項產品有關之測試．維修．管理顧問及技術諮詢服務,新竹市,變更,11508
22207687,新竹農產運銷股份有限公司,新竹市東區經國路一段411號,林琨瀚,1000000,,115/08/21,一般補正案,F101061 農產品批發市場；F201010 農產品零售業；F201020 畜產品零售業；F201030 水產品零售業；F206020 日常用品零售業；F301010 百貨公司業；F301020 超級市場業；F399990 其他綜合零售業；IZ06010 理貨包裝業；G202010 停車場經營業,新竹市,變更,11508
22405096,裕竹有限公司,新竹市樹下里牛埔南路376巷11號,鄭春振,500000,,115/08/18,股東出資轉讓修正章程,,新竹市,變更,11508
22507241,京元電子股份有限公司,新竹市東區埔頂里公道五路二段81號,謝其俊,12838823180,,115/08/18,發行新股,ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,變更,11508
22555144,坤泰投資股份有限公司,新竹市北大路340號5樓,朱河村,100000000,,115/08/17,一般補正案,H201010 一般投資業；H701010 住宅及大樓開發租售業；H701020 工業廠房開發租售業；H701040 特定專業區開發業；H701050 投資興建公共建設業；H701060 新市鎮、新社區開發業；H701070 區段徵收及市地重劃代辦業；H701080 都市更新重建業；H701090 都市更新整建維護業；H703090 不動產買賣業,新竹市,變更,11508
22776272,興雄工業有限公司,新竹市中華路4段434巷22號,,5000000,,115/08/17,解散,F105050 家具、寢具、廚房器具、裝設品批發業；F205040 家具、寢具、廚房器具、裝設品零售業；CA01120 銅鑄造業；CR01010 瓦斯器材及其零件製造業；CA02080 金屬鍛造業；CA02990 其他金屬製品製造業；CQ01010 模具製造業；CA01030 鋼鐵鑄造業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務；H703100 不動產租賃業,新竹市,變更,11508
23072173,百祥加油站股份有限公司,新竹市中華路五段111號,余書緯,13000000,,115/08/17,董事/監察人持股變動報備,F112010 汽油、柴油批發業；F112040 石油製品批發業；F212011 加油站業；F212050 石油製品零售業；JA01010 汽車修理業；JA01990 其他汽車服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,變更,11508
23113575,旭家開發股份有限公司,新竹市光復路2段295號21樓之1,陳德倫,60000000,,115/08/17,改選董事/監察人(一人法人股東指派董事/監察人),F105010 家具批發。；F301010 百貨公司業。；F301020 超級巿場業。；F301030 一般百貨業。；F399010 便利商店業。；H703030 辦公大樓出租業。,新竹市,變更,11508
23473992,巨漢系統科技股份有限公司,新竹市東區東園里中華路一段324號8樓,廖俊茂,666760000,,115/08/26,補選董事(常務董事.董事長)/監察人,CB01010 機械設備製造業；CB01990 其他機械製造業；CC01010 發電、輸電、配電機械製造業；CC01060 有線通信機械器材製造業；CC01070 無線通信機械器材製造業；E501011 自來水管承裝商；E599010 配管工程業；E601010 電器承裝業；E601020 電器安裝業；E602011 冷凍空調工程業,新竹市,變更,11508
23953628,新鶴股份有限公司,新竹市香山區牛埔南路374巷6號及8號,彭朋益,126000000,,115/08/06,改選董事/監察人(一人法人股東指派董事/監察人),CB01010 機械設備製造業；CC01080 電子零組件製造業；CC01990 其他電機及電子機械器材製造業；CQ01010 模具製造業；E603050 自動控制設備工程業；F401010 國際貿易業；I501010 產品設計業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,變更,11508
24213756,基特國際股份有限公司,新竹市香山區埔前里埔前路231巷39號,謝瑞海,23100000,,115/08/06,改選董事/監察人(一人法人股東指派董事/監察人),ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,變更,11508
24353968,宏正投資股份有限公司,新竹市東區新竹市演藝路25號6樓,立發投資有限公司,102135190,,115/08/06,一般補正案,H201010 一般投資業,新竹市,變更,11508
24373232,金磚通訊科技股份有限公司,新竹市東區復興里10鄰自由路104之3號,黃永翔,180000000,,115/08/18,一般補正案,I301010 資訊軟體服務業；I301020 資料處理服務業；I301030 電子資訊供應服務業；F113050 電腦及事務性機器設備批發業；F118010 資訊軟體批發業；F401010 國際貿易業；F401021 電信管制射頻器材輸入業；CC01060 有線通信機械器材製造業；CC01070 無線通信機械器材製造業；CC01110 電腦及其週邊設備製造業,新竹市,變更,11508
24437123,天金物流有限公司,新竹市北區南寮里東大路四段290號12樓之1,黃聖崴,10000000,,115/08/10,股東出資轉讓修正章程,ZZ99999 除許可業務外，得經營法令非禁止或限制之業務；G801010 倉儲業；IZ06010 理貨包裝業；G799990 其他運輸輔助業,新竹市,變更,11508
24625808,永盛米粉股份有限公司,新竹市香山區美山里中華路五段318號,曾榮村,9500000,,115/08/12,一般補正案,A102060 糧商業；C106010 製粉業；C199010 麵條、粉條類食品製造業；F203010 食品什貨、飲料零售業；F401010 國際貿易業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,變更,11508
24627593,鴻喆建設股份有限公司,新竹市北區水田里中正路158號12樓之3,陳正宗,200000000,,115/08/04,改選董事/監察人(一人法人股東指派董事/監察人),H701010 住宅及大樓開發租售業；H701020 工業廠房開發租售業；H701040 特定專業區開發業；H701050 投資興建公共建設業；H701060 新市鎮、新社區開發業；H701070 區段徵收及市地重劃代辦業；H701080 都市更新重建業；H701090 都市更新整建維護業；H702010 建築經理業；H703090 不動產買賣業,新竹市,變更,11508
24661971,聚嶸科技股份有限公司,新竹市東區建功里公道五路二段176號7樓,林士聖,100000000,,115/08/31,一般補正案,F213030 電腦及事務性機器設備零售業；I301010 資訊軟體服務業；I301020 資料處理服務業；F213080 機械器具零售業；IF04010 非破壞檢測業；CA04010 表面處理業；CC01010 發電、輸電、配電機械製造業；CC01080 電子零組件製造業；CE01010 一般儀器製造業；CE01030 光學儀器製造業,新竹市,變更,11508
24811417,薩摩亞商鑫九通材料股份有限公司,新竹市東區光明里光復路二段101號,雷巧雲,8000000,,115/08/25,補繳規費,C801100 合成樹脂及塑膠製造業；C802990 其他化學製品製造業；CC01080 電子零組件製造業；F107010 漆料、塗料批發業；F107020 染料、顏料批發業；F107200 化學原料批發業；F107990 其他化學製品批發業；F119010 電子材料批發業；F207010 漆料、塗料零售業；F207020 染料、顏料零售業,新竹市,變更,11508
24856693,高得投資股份有限公司,新竹市北區士林里東大路二段639號1樓,莊大毅,31700000,,115/08/18,變更為閉鎖性,H201010 一般投資業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,變更,11508
24869108,清盺科技企業有限公司,新竹市北區海濱里海濱路105號1樓,陳秋美,35000000,,115/08/13,股東出資轉讓修正章程,CB01010 機械設備製造業；CB01030 污染防治設備製造業；E604010 機械安裝業；F106010 五金批發業；F107080 環境用藥批發業；F107170 工業助劑批發業；F107200 化學原料批發業；F113010 機械批發業；F113020 電器批發業；F113030 精密儀器批發業,新竹市,變更,11508
24888409,德高建設股份有限公司,新竹市北區南勢里南勢二街29號五樓之2,陳柏瑞,25000000,,115/08/05,董事/監察人地址變更,H701010 住宅及大樓開發租售業；H701020 工業廠房開發租售業；H701050 投資興建公共建設業；H701060 新市鎮、新社區開發業；H701070 區段徵收及市地重劃代辦業；H702010 建築經理業；H703090 不動產買賣業；H703100 不動產租賃業；H703110 老人住宅業；E801010 室內裝潢業,新竹市,變更,11508
24894731,昊鑫投資有限公司,新竹市東區世界街100號13樓,許瑋耘,100000000,,115/08/14,股東出資轉讓修正章程,H201010 一般投資業；I102010 投資顧問業；H703090 不動產買賣業；H703100 不動產租賃業；F115010 首飾及貴金屬批發業；F111090 建材批發業；J601010 藝文服務業；F105050 家具、寢具、廚房器具、裝設品批發業；F110010 鐘錶批發業；F115020 礦石批發業,新竹市,變更,11508
24956320,勝松食品股份有限公司,新竹市北區石坊里西門街64巷7號,勝山大毅,500000,,115/08/14,公司遷址修正章程,C110010 飲料製造業；C199990 未分類其他食品製造業；F101040 家畜家禽批發業；F101050 水產品批發業；F101130 蔬果批發業；F102030 菸酒批發業；F102040 飲料批發業；F102170 食品什貨批發業；F106020 日常用品批發業；F113010 機械批發業,新竹市,變更,11508
25017979,聯慶科技股份有限公司,新竹市金雅里金雅二街68巷11號1樓,施佳宏,50000000,,115/08/21,補繳規費,F113020 電器批發業；F113030 精密儀器批發業；F113050 電腦及事務性機器設備批發業；F113070 電信器材批發業；F113110 電池批發業；F118010 資訊軟體批發業；F119010 電子材料批發業；F213010 電器零售業；F213030 電腦及事務性機器設備零售業；F213040 精密儀器零售業,新竹市,變更,11508
