統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00060501,元韻有限公司,新竹市香山區瑞光街40號,曾棻鵑,1500000,,115/05/18,增資,F102040 飲料批發業；F102170 食品什貨批發業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F105050 家具、寢具、廚房器具、裝設品批發業；F106010 五金批發業；F106020 日常用品批發業；F106060 寵物食品及其用品批發業；F107030 清潔用品批發業；F108031 醫療器材批發業；F109070 文教、樂器、育樂用品批發業,新竹市,變更,11505
00105508,鴻藍運輸有限公司,新竹市東區龍山里光復路一段576巷17號1樓,鄭栢鋒,25000000,,115/05/04,補繳規費,G101061 汽車貨運業；F214010 汽車零售業；IZ06010 理貨包裝業；EZ02010 起重工程業；G801010 倉儲業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,變更,11505
00171416,杰勝科技有限公司,新竹市北區中華路三段9號8樓之7,陳家盈,1000000,,115/05/07,一般補正案,F118010 資訊軟體批發業；F218010 資訊軟體零售業；F113050 電腦及事務性機器設備批發業；F213030 電腦及事務性機器設備零售業；I301010 資訊軟體服務業；I301020 資料處理服務業；I301030 電子資訊供應服務業；I301040 第三方支付服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,變更,11505
00175068,蔣好餐飲有限公司,新竹市東區光鎮里南大路627號1樓,蔣雨杰,5000000,,115/05/08,增資,F501060 餐館業；F201010 農產品零售業；F201020 畜產品零售業；F201030 水產品零售業；F203010 食品什貨、飲料零售業；C103050 罐頭、冷凍、脫水及醃漬食品製造業；C110010 飲料製造業；C199030 即食餐食製造業；I101090 食品顧問業；I103060 管理顧問業,新竹市,變更,11505
12707699,駿業發投資股份有限公司,新竹市東區復中里中央路247號7樓之1,邱丕良,1000000,,115/05/07,補繳規費,H201010 一般投資業,新竹市,變更,11505
12709090,駿業投資股份有限公司,新竹市東區復中里中央路247號7樓之1,邱丕良,1000000,,115/05/07,補繳規費,H201010 一般投資業,新竹市,變更,11505
16130346,常憶科技股份有限公司,新竹市科技五路2號3樓,韓長蛟,419369910,,115/05/12,減資,CC01080 電子零組件製造業一、研究、開發、設計、生產、測試及銷售快閃記憶體及其相關嵌入式產品。二、高功能低功耗特殊應用利基型動態隨機存取記憶體。三、高功能低功耗特殊應用利基型靜態隨機存取記憶體。四、低耗電行動用動態隨機存取記憶體。五、上述產品有關之技術服務及顧問諮詢。,新竹市,變更,11505
16130417,虹冠電子工業股份有限公司,新竹市園區二路11號5樓,方敏宗,798235900,,115/05/29,補選董事(常務董事.董事長)/監察人,CC01080 電子零組件製造業；I501010 產品設計業；F601010 智慧財產權業；F401010 國際貿易業(一)、研究、開發、生產、製造及銷售下列產品：1、功率積體電路（Power IC）2、電源模組（Power Module）3、場效電晶體（MOSFET）4、快速回復二極體（Fast Recovery Diodes）(二)、提供前項產品之設計及技術諮詢服務業務,新竹市,變更,11505
16252902,茂達電子股份有限公司,新竹市篤行一路6號,王志信,756355000,,115/05/06,註銷庫藏股減資,CC01080 電子零組件製造業一、研究、開發、生產、製造、銷售下列產品：1、半導體功率ＩＣ和其模組2、半導體功率元件和其模組3、智慧型功率ＩＣ和其模組4、無線及網路通訊ＩＣ5、光電驅動ＩＣ二、前述相關業務之諮詢和顧問,新竹市,變更,11505
16553484,統怡工程有限公司,新竹市高翠路160巷50之8號,李樹坤,50000000,,115/05/18,一般補正案,E502010 燃料導管安裝工程業。；E599010 配管工程業。；E602010 冷凍空調工程業。；F401010 國際貿易業。；F106010 五金批發業。；CA02010 金屬建築結構及組件製造業。,新竹市,變更,11505
16779976,台灣沃威沃股份有限公司,新竹市水利路81號8樓之17,馬利克沙拉邁,15000000,,115/05/04,改選董事/監察人(一人法人股東指派董事/監察人),E301010 水處理工程業；F401010 國際貿易業；F199990 其他批發業（工業用水）；F299990 其他零售業（工業用水）；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,變更,11505
16843870,智通聯網科技股份有限公司,新竹市展業一路9號5樓之3,李怡德,225114750,,115/05/29,修正章程,CC01060 有線通信機械器材製造業；CC01070 無線通信機械器材製造業；CC01100 電信管制射頻器材製造業；F401010 國際貿易業；E701010 電信工程業；I301010 資訊軟體服務業；CC01080 電子零組件製造業；CC01110 電腦及其週邊設備製造業；CC01120 資料儲存媒體製造及複製業；E701030 電信管制射頻器材裝設工程業,新竹市,變更,11505
16867746,中悅尊爵保全股份有限公司,新竹市北區客雅里公道三路59巷13號1樓,黃雯淇,40000000,,115/05/21,一般補正案,I901011 保全業,新竹市,變更,11505
16895763,勝傳科技股份有限公司,新竹市東區關新路27號11樓之一,鄭英志,22300000,,115/05/26,一般補正案,ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹市,變更,11505
16950548,嘉豪營造有限公司,新竹市竹蓮街156號1樓,吳進成,3600000,,115/05/25,股東出資轉讓修正章程,E101011 綜合營造業,新竹市,變更,11505
21223267,聯合光纖通信股份有限公司,新竹市研新四路12號,林郁昌,1053437140,,115/05/25,公司所營事業變更修正章程,CC01060 有線通信機械器材製造業；CC01070 無線通信機械器材製造業；F401010 國際貿易業；E601010 電器承裝業(限區外經營)；E601020 電器安裝業(限區外經營)；E603090 照明設備安裝工程業(限區外經營)；F116010 照相器材批發業(限區外經營)；E801010 室內裝潢業(限區外經營)；E701010 電信工程業；EZ99990 其他工程業(限區外經營),新竹市,變更,11505
