統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00005888,征億有限公司,新竹縣橫山鄉橫山村中豐路一段22巷18號一樓,彭聖浩,2000000,,115/05/18,補繳規費,F399040 無店面零售業；F109070 文教、樂器、育樂用品批發業；F209060 文教、樂器、育樂用品零售業；F401010 國際貿易業；F399990 其他綜合零售業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,變更,11505
00021732,鎏金地產開發有限公司,新竹縣竹北市莊敬三路286號,顧珈毓,1000000,,115/05/06,一般補正案,H704031 不動產仲介經紀業；H704041 不動產代銷經紀業；HZ99990 其他金融、保險及不動產業；I102010 一般投資顧問業；I103060 管理顧問業；I199990 其他顧問服務業；I401010 一般廣告服務業；I401020 廣告傳單分送業；I501010 產品設計業；I599990 其他設計業,新竹縣,變更,11505
00025250,沐耀投資顧問股份有限公司,新竹縣竹北市台元一街5號2樓之2,顏衡,1000000,,115/05/05,一般補正案,F113010 機械批發業；F119010 電子材料批發業；F213080 機械器具零售業；F219010 電子材料零售業；F601010 智慧財產權業；F401010 國際貿易業；H201010 一般投資業；H703100 不動產租賃業；I102010 一般投資顧問業；I103060 管理顧問業,新竹縣,變更,11505
00095656,昱盛興科技股份有限公司,新竹縣竹北市新崙里興隆路1段13號1樓,吳妤儀,6200000,,115/05/14,公司名稱變更修正章程,JF01020 按摩業；JF01030 腳底按摩業；JZ99110 瘦身美容業；JZ99080 美容美髮服務業；JZ99990 未分類其他服務業；F106010 五金批發業；F206010 五金零售業；F102180 酒精批發業；F203030 酒精零售業；F206020 日常用品零售業,新竹縣,變更,11505
00106302,和厲有限公司,新竹縣竹東鎮康莊街39號,鄭智中,10000000,,115/05/26,公司印鑑變更,CA01050 鋼材二次加工業；CA02060 金屬容器製造業；CB01010 機械設備製造業；CB01990 其他機械製造業；CC01110 電腦及其週邊設備製造業；CE01010 一般儀器製造業；E599010 配管工程業；E601010 電器承裝業；E601020 電器安裝業；E603010 電纜安裝工程業,新竹縣,變更,11505
00107793,沐樂福生活藝術有限公司,新竹縣竹北市斗崙里光明六路87-5號2樓,紀詠晴,500000,,115/05/22,公司所營事業變更修正章程,I105010 藝術品諮詢顧問業；I199990 其他顧問服務業；JZ99990 未分類其他服務業；F102170 食品什貨批發業；F199990 其他批發業；F399990 其他綜合零售業；F203010 食品什貨、飲料零售業；F399040 無店面零售業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務；F204110 布疋、衣著、鞋、帽、傘、服飾品零售業,新竹縣,變更,11505
00119453,鷹馬股份有限公司,新竹縣竹北市泰和里環科一路23號八樓之1,高德賢,18960000,,115/05/20,一般補正案,H201010 一般投資業,新竹縣,變更,11505
00158011,宏迎事業有限公司,新竹縣新埔鎮文山里文山路犁頭山段492號,林柏宏,20400000,,115/05/19,補繳規費,F102170 食品什貨批發業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F109070 文教、樂器、育樂用品批發業；F113020 電器批發業；F113050 電腦及事務性機器設備批發業；F113990 其他機械器具批發業；F203010 食品什貨、飲料零售業；F204110 布疋、衣著、鞋、帽、傘、服飾品零售業；F206010 五金零售業；F206020 日常用品零售業,新竹縣,變更,11505
00170438,牛津儀器股份有限公司,新竹縣竹北市高鐵二路32號6樓之1,合田豊治,5000000,,115/05/25,公司所在地,E604010 機械安裝業；IG02010 研究發展服務業；F401010 國際貿易業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,變更,11505
00171252,花樂股份有限公司,新竹縣竹北市竹北里縣政二路247號,,5000000,,115/05/27,解散,F201980 其他動物零售業；F203010 食品什貨、飲料零售業；F204110 布疋、衣著、鞋、帽、傘、服飾品零售業；F206010 五金零售業；F206020 日常用品零售業；F206050 寵物食品及其用品零售業；F208040 化粧品零售業；F209060 文教、樂器、育樂用品零售業；F210010 鐘錶零售業；F210020 眼鏡零售業,新竹縣,變更,11505
00252938,南台南系統科技股份有限公司,新竹縣芎林鄉文華街306號,陳國華,111000000,,115/05/28,發行新股,F106010 五金批發業；F106040 水器材料批發業；F107170 工業助劑批發業；F107990 其他化學製品批發業；F206010 五金零售業；F206040 水器材料零售業；F207990 其他化學製品零售業；F207170 工業助劑零售業；F113010 機械批發業；E603050 自動控制設備工程業,新竹縣,變更,11505
01181346,小叮噹科學股份有限公司,新竹縣新豐鄉松柏村6鄰康和路199號,蘇仲華,199000000,,115/05/21,改選董事/監察人(一人法人股東指派董事/監察人),A101020 農作物栽培業；A101030 特用作物栽培業；A102050 作物栽培服務業；F399010 便利商店業；F501060 餐館業；H703100 不動產租賃業；I101070 農、林、漁、畜牧顧問業；I103060 管理顧問業；I199990 其他顧問服務業；J701020 遊樂園業,新竹縣,變更,11505
04373234,瑩隆貿易股份有限公司,新竹縣湖口鄉湖南村介壽街5號,張楊月珠,5000000,,115/05/11,公司遷址修正章程,,新竹縣,變更,11505
09444482,康美包紙盒包裝股份有限公司,新竹縣湖口鄉中興村工業一路5號,Ann-Kristin Erkens,1000000,,115/05/21,改選董事/監察人(一人法人股東指派董事/監察人),,新竹縣,變更,11505
