統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00005705,杯思特環保科技股份有限公司,新北市土城區承天路4巷2之1號(2樓),缺額,800000,114/02/25,115/07/13,特殊補正,IZ16010 餐具清洗業；J101010 建築物清潔服務業；JE01010 租賃業；C802090 清潔用品製造業；F107030 清潔用品批發業；F207030 清潔用品零售業；F401010 國際貿易業；F105050 家具、寢具、廚房器具、裝設品批發業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,變更,11507
00006090,日誠工程有限公司,新北市淡水區清水街12號2樓,吳思瑩,5000000,113/12/18,115/07/24,公司所在地,E603090 照明設備安裝工程業；E801010 室內裝潢業；E801030 室內輕鋼架工程業；E901010 油漆工程業；EZ02010 起重工程業；EZ06010 交通標示工程業；EZ99990 其他工程業；I401010 一般廣告服務業；JZ99990 未分類其他服務業；F111090 建材批發業,新北市,變更,11507
00006866,兆藝視覺有限公司,新北市永和區永元路60號3樓,許兆恩,100000,113/08/21,115/07/27,特殊補正,I401010 一般廣告服務業；I501010 產品設計業；I503010 景觀設計業；I599990 其他設計業；E801010 室內裝潢業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,變更,11507
00007106,建昇汽車材料有限公司,新北市汐止區大安街52巷27號,劉建生,1000000,113/08/20,115/07/28,特殊補正,F114030 汽、機車零件配備批發業；F214030 汽、機車零件配備零售業；JA01010 汽車修理業；F114040 自行車及其零件批發業；F114990 其他交通運輸工具及其零件批發業；F214040 自行車及其零件零售業；F214050 車胎零售業；F214990 其他交通運輸工具及其零件零售業；F114050 車胎批發業；F113990 其他機械器具批發業,新北市,變更,11507
00008554,高杉投資股份有限公司,新北市新莊區新北大道4段171號3樓,於知慶,231273340,113/11/08,115/07/24,特殊補正,H201010 一般投資業；I103060 管理顧問業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,變更,11507
00027898,新櫪企業有限公司,新北市新莊區新北大道4段173號3樓,邱姿嬑,5000000,113/10/30,115/07/24,特殊補正,F106010 五金批發業；F107010 漆料、塗料批發業；F111090 建材批發業；F206010 五金零售業；F207010 漆料、塗料零售業；F399040 無店面零售業；F401010 國際貿易業；I401010 一般廣告服務業；JZ99050 仲介服務業；CA01050 鋼材二次加工業,新北市,變更,11507
00037930,永源商業顧問有限公司,新北市新莊區仁愛街37號3樓,彭秀蓁,2000000,113/08/13,115/07/06,股東出資轉讓修正章程,I503010 景觀設計業；I501010 產品設計業；I599990 其他設計業；I401010 一般廣告服務業；I401020 廣告傳單分送業；I301020 資料處理服務業；I301010 資訊軟體服務業；I103060 管理顧問業；IZ99990 其他工商服務業；F111090 建材批發業,新北市,變更,11507
00043460,峻億鋼鐵有限公司,新北市五股區芳洲路49號3樓,郭鳴忠,1100000,113/09/27,115/07/17,公司所在地,F111090 建材批發業；EZ02010 起重工程業；EZ99990 其他工程業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新北市,變更,11507
00043551,摩爾智能股份有限公司,新北市汐止區大同路1段497號3樓之3,陳晉益,6000000,113/11/20,115/07/08,公司名稱變更修正章程,F113020 電器批發業；F113070 電信器材批發業；F114030 汽、機車零件配備批發業；F119010 電子材料批發業；F118010 資訊軟體批發業；F113110 電池批發業；F218010 資訊軟體零售業；F219010 電子材料零售業；F399040 無店面零售業；F401010 國際貿易業,新北市,變更,11507
00045256,新加坡商十全十美貿易有限公司,新北市新莊區中華路2段17號5樓,張孟深,500000,113/09/06,115/07/22,在中華民國境內負責人住所或居所變更,F102040 飲料批發業；F102170 食品什貨批發業；F401010 國際貿易業,新北市,變更,11507
