統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00004537,宏學機電工程有限公司,新竹縣竹北市北興里勝利八街一段309號2樓,李學敬,600000,,115/07/28,公司所在地,E599010 配管工程業；E601010 電器承裝業；E601020 電器安裝業；E604010 機械安裝業；E605010 電腦設備安裝業；E701040 簡易電信設備安裝業；E801010 室內裝潢業；E801020 門窗安裝工程業；E801030 室內輕鋼架工程業；E801040 玻璃安裝工程業,新竹縣,變更,11507
00025250,沐耀投資顧問股份有限公司,新竹縣竹北市台元一街5號2樓之2,顏衡,1000000,,115/07/27,改採紙本申辦簽章,F113010 機械批發業；F119010 電子材料批發業；F213080 機械器具零售業；F219010 電子材料零售業；F601010 智慧財產權業；F401010 國際貿易業；H201010 一般投資業；H703100 不動產租賃業；I102010 一般投資顧問業；I103060 管理顧問業,新竹縣,變更,11507
00031339,景晶科技股份有限公司,新竹縣湖口鄉光復北路17號3樓,孫佳成,240000000,,115/07/03,補繳規費,CC01080 電子零組件製造業；F119010 電子材料批發業；F219010 電子材料零售業；I501010 產品設計業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,變更,11507
00046190,里承建築股份有限公司,新竹縣新埔鎮田新里福德街405號1樓,呂學成,30000000,,115/07/16,補選董事(常務董事.董事長)/監察人,H701010 住宅及大樓開發租售業；H701020 工業廠房開發租售業；H701050 投資興建公共建設業；H701060 新市鎮、新社區開發業；H701080 都市更新重建業；H701090 都市更新整建維護業；H703090 不動產買賣業；H703100 不動產租賃業；H702010 建築經理業；E599010 配管工程業,新竹縣,變更,11507
00055937,九一趨勢實業有限公司,新竹縣竹北市鹿場里自強七街33號5樓,黃國棟,500000,,115/07/30,一般補正案,F113010 機械批發業；F113030 精密儀器批發業；JE01010 租賃業；F108040 化粧品批發業；I199990 其他顧問服務業；F102170 食品什貨批發業；F401010 國際貿易業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F113020 電器批發業；F106010 五金批發業,新竹縣,變更,11507
00094376,海馳科技股份有限公司,新竹縣竹北市竹北里台元二街10號11樓之1,鄭光志,380000000,,115/07/27,一般補正案,CC01080 電子零組件製造業；CC01110 電腦及其週邊設備製造業；CD01030 汽車及其零件製造業；CE01010 一般儀器製造業；F119010 電子材料批發業；F219010 電子材料零售業；F399990 其他綜合零售業；F401010 國際貿易業；I199990 其他顧問服務業；I301030 電子資訊供應服務業,新竹縣,變更,11507
00103749,沅威科技有限公司,新竹縣寶山鄉福德街7巷1號,李明鴻,3000000,,115/07/14,股東出資轉讓修正章程,E604010 機械安裝業；EZ99990 其他工程業；JA02990 其他修理業；F113010 機械批發業；F113990 其他機械器具批發業；F213080 機械器具零售業；F213990 其他機械器具零售業；F119010 電子材料批發業；F219010 電子材料零售業；F401010 國際貿易業,新竹縣,變更,11507
00118004,幻遂有限公司,新竹縣新豐鄉忠孝村忠一街236巷8號一樓,陳鵬丞,1000000,,115/07/20,補繳規費,F399040 無店面零售業；F399990 其他綜合零售業；I103060 管理顧問業；J202010 產業育成業；J304010 圖書出版業；J305010 有聲出版業；J399010 軟體出版業；F209060 文教、樂器、育樂用品零售業；F218010 資訊軟體零售業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,變更,11507
00170394,台灣振鑫電子股份有限公司,新竹縣竹北市鹿場里復興五街31號10樓之5,徐國原,120000000,,115/07/22,公司所在地,CC01080 電子零組件製造業；CC01990 其他電機及電子機械器材製造業；CA04010 表面處理業；CE01990 其他光學及精密器械製造業；E603050 自動控制設備工程業；E604010 機械安裝業；F119010 電子材料批發業；F113030 精密儀器批發業；F113010 機械批發業；F106010 五金批發業,新竹縣,變更,11507
00181168,紫川電子商務有限公司,新竹縣北埔鄉外坪村3鄰7號1樓,吳家侖,500000,,115/07/29,一般補正案,F399040 無店面零售業；F401010 國際貿易業；I501010 產品設計業；I301010 資訊軟體服務業；I301020 資料處理服務業；F205040 家具、寢具、廚房器具、裝設品零售業；F206010 五金零售業；F206020 日常用品零售業；F204110 布疋、衣著、鞋、帽、傘、服飾品零售業；F203010 食品什貨、飲料零售業,新竹縣,變更,11507
