統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
24569334,益群教育顧問有限公司,基隆市七堵區明德一路85號（9F-6）,鄒湘平,1000000,103/07/18,115/07/02,公司遷址修正章程,I103060 管理顧問業；I199990 其他顧問服務業；I301020 資料處理服務業；IZ04010 翻譯業；JA05010 留、遊學服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,基隆市,變更,11507
24636713,溢彩生技股份有限公司,基隆市七堵區工建南路21號,盧繼張,118640950,103/09/16,115/07/02,一般補正案,C802100 化粧品製造業；F108040 化粧品批發業；F208040 化粧品零售業；F401010 國際貿易業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,基隆市,變更,11507
24650735,紳鴻有限公司,基隆市暖暖區暖暖里源遠路68號4樓,劉栩安,5000000,103/11/03,115/07/07,一般補正案,F106010 五金批發業；F111090 建材批發業；F115020 礦石批發業；F199010 回收物料批發業；A202020 薪炭業；B601010 土石採取業；C501010 製材業；C501040 組合木材製造業；J101010 建築物清潔服務業；J101020 病媒防治業,基隆市,變更,11507
24749414,矽谷能源股份有限公司,基隆市安樂區內寮里武訓街55號,王文輝,160000000,103/09/19,115/07/30,額定資本額增加變更章程,CC01030 電器及視聽電子產品製造業；CC01060 有線通信機械器材製造業；CC01070 無線通信機械器材製造業；CC01080 電子零組件製造業；CC01110 電腦及其週邊設備製造業；CC01120 資料儲存媒體製造及複製業；F109070 文教、樂器、育樂用品批發業；F113050 電腦及事務性機器設備批發業；F113070 電信器材批發業；F113110 電池批發業,基隆市,變更,11507
24892369,瑞鴻金屬工程有限公司,基隆市中正區觀海街146號14樓,林宏昱,5000000,104/04/28,115/07/08,股東出資轉讓修正章程,CA02010 金屬結構及建築組件製造業；CA02030 螺絲、螺帽、螺絲釘、及鉚釘等製品製造業；CA02990 其他金屬製品製造業；CP01010 手工具製造業；CQ01010 模具製造業；E603100 電焊工程業；E801010 室內裝潢業；E801020 門窗安裝工程業；E801030 室內輕鋼架工程業；E801040 玻璃安裝工程業,基隆市,變更,11507
24893536,全璟興業有限公司,基隆市仁愛區博愛里愛二路17號(1樓),黃正郎,1000000,104/04/30,115/07/13,一般補正案,E604010 機械安裝業；F101130 蔬果批發業；F101990 其他農、畜、水產品批發業；F106010 五金批發業；F113010 機械批發業；F113020 電器批發業；F113050 電腦及事務性機器設備批發業；F118010 資訊軟體批發業；F119010 電子材料批發業；F201010 農產品零售業,基隆市,變更,11507
25000251,全德旺實業有限公司,基隆市中正區新豐街460之5號9樓,黎俽彤,2000000,98/07/24,115/07/15,申登機關變更（遷入，含卷）,F102170 食品什貨批發業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F105050 家具、寢具、廚房器具、裝設品批發業；F106010 五金批發業；F106020 日常用品批發業；F107030 清潔用品批發業；F111090 建材批發業；F112040 石油製品批發業；F113050 電腦及事務性機器設備批發業；F119010 電子材料批發業,基隆市,變更,11507
25089396,加陞建設股份有限公司,基隆市安樂區安一路401號1樓,林啓宏,3000000,98/12/16,115/07/03,改選董事/監察人(一人法人股東指派董事/監察人),H701010 住宅及大樓開發租售業；H703090 不動產買賣業；H703100 不動產租賃業；F111090 建材批發業；F211010 建材零售業,基隆市,變更,11507
25182148,寶昇船務代理股份有限公司,基隆市仁愛區仁二路255號7樓,陳致超,42850000,99/03/18,115/07/14,改選董事/監察人(一人法人股東指派董事/監察人),G401011 船務代理業；G402011 海運承攬運送業；G702010 船舶勞務承攬業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,基隆市,變更,11507
27355481,瀛廣興業有限公司,基隆市暖暖區源遠路297巷95號6樓,曾昱菁,5000000,91/07/13,115/07/29,申登機關變更（遷入，含卷）,F113010 機械批發業；F113030 精密儀器批發業；F114030 汽、機車零件配備批發業；F114060 船舶及其零件批發業；F114010 汽車批發業；F118010 資訊軟體批發業；F119010 電子材料批發業；F301010 百貨公司業；F401010 國際貿易業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,基隆市,變更,11507
28054913,尊宏環境資源股份有限公司,基隆市信義區孝岡里深澳坑路173-2號,俞辰福,60000000,94/12/14,115/07/06,改選董事/監察人(一人法人股東指派董事/監察人),F111090 建材批發業；F211010 建材零售業；A202020 薪炭業；C501010 製材業；C501030 合板製造業；C501040 組合木材製造業；C501060 木質容器製造業；C901060 耐火材料製造業；C901070 石材製品製造業；CN01010 家具及裝設品製造業,基隆市,變更,11507
28136020,燁暘金屬有限公司,基隆市中山區德安路4-2號,邱漢光,1000000,95/03/30,115/07/02,公司遷址修正章程,ZZ99999 除許可業務外，得經營法令非禁止或限制之業務；E603100 電焊工程業；E603120 噴砂工程業；E801020 門窗安裝工程業；E801030 室內輕鋼架工程業；E903010 防蝕、防銹工程業；EZ02010 起重工程業；F106010 五金批發業；F107010 漆料、塗料批發業；F111090 建材批發業,基隆市,變更,11507
