統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00005700,大中福國企業有限公司,基隆市安樂區武訓街63號,魏雅庵,20000000,56/02/22,115/03/19,公司所在地,D201040 液化石油氣分裝業；F111090 建材批發業；F112020 煤及煤製品批發業；F112040 石油製品批發業；F115020 礦石批發業；F211010 建材零售業；F212030 煤零售業；F401010 國際貿易業；EZ99990 其他工程業；I501010 產品設計業,基隆市,變更,11503
00061717,中台通運股份有限公司,基隆市中正區義一路87號9樓之1,杜恒誼,20000000,39/03/27,115/03/06,董事/監察人持股變動報備,G401011 船務代理業；G799990 其他運輸輔助業；G801010 倉儲業；IZ06010 理貨包裝業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,基隆市,變更,11503
00089747,紅機科技有限公司,基隆市中正區八斗里漁港三街168號一樓,杜涵蓁,1001000,113/12/17,115/03/26,修正章程,CB01020 事務機器製造業；CC01110 電腦及其週邊設備製造業；F106010 五金批發業；F113030 精密儀器批發業；F113050 電腦及事務性機器設備批發業；F113990 其他機械器具批發業；F118010 資訊軟體批發業；F119010 電子材料批發業；F213030 電腦及事務性機器設備零售業；F213040 精密儀器零售業,基隆市,變更,11503
00146877,欣隆天然氣股份有限公司,基隆市信義區信一路57號4樓,李宗孝,699000000,61/04/19,115/03/23,董事(常務董事.董事長)/監察人解任,D201011 公用天然氣事業；E502010 燃料導管安裝工程業；E603130 燃氣熱水器承裝業；JA02051 度量衡器修理業；JA02990 其他修理業；F105050 家具、寢具、廚房器具、裝設品批發業；F199990 其他批發業；F401010 國際貿易業；F113990 其他機械器具批發業；F213990 其他機械器具零售業,基隆市,變更,11503
00209665,朗毓國際美學顧問有限公司,基隆市安樂區麥金路263號11樓,黃淑琴,100000,113/12/02,115/03/11,補繳規費,F106020 日常用品批發業；F108040 化粧品批發業；F206020 日常用品零售業；F208040 化粧品零售業；F399040 無店面零售業；F401010 國際貿易業；I199990 其他顧問服務業；I401010 一般廣告服務業；IZ15010 市場研究及民意調查業；J601010 藝文服務業,基隆市,變更,11503
00240899,寰麟室內裝修股份有限公司,基隆市中山區德安里復興路273號,翁啓倫,2400000,113/12/18,115/03/18,一般補正案,E801060 室內裝修業；E801010 室內裝潢業；E599010 配管工程業；E601020 電器安裝業；E603090 照明設備安裝工程業；E801020 門窗安裝工程業；E801030 室內輕鋼架工程業；E801040 玻璃安裝工程業；E801070 廚具、衛浴設備安裝工程業；E901010 油漆工程業,基隆市,變更,11503
00660488,隆順報關運輸股份有限公司,基隆市仁愛區孝三路65巷15之1號2樓,張文亮,1000000,63/04/02,115/03/26,改選董事/監察人(一人法人股東指派董事/監察人),,基隆市,變更,11503
00665379,蓬萊通運股份有限公司,基隆市仁愛區孝四路28號,謝宏隆,9000000,63/12/20,115/03/16,一般補正案,G401011 船務代理業；G406051 商港區船舶理貨業；JE01010 租賃業；IZ06010 理貨包裝業；F401010 國際貿易業；G405010 貨櫃出租業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務；F214060 船舶及其零件零售業；G702010 船舶及其零件零售業,基隆市,變更,11503
00698914,正健機械工程有限公司,基隆市暖暖區源遠路38號5樓,黃淑惠,12000000,67/01/11,115/03/20,股東出資轉讓修正章程,CC01010 發電、輸電、配電機械製造業；CD01010 船舶及其零件製造業；CB01010 機械設備製造業；E604010 機械安裝業；E603100 電焊工程業；E599010 配管工程業；EZ99990 其他工程業；F113010 機械批發業；F206010 五金零售業；F213080 機械器具零售業,基隆市,變更,11503
00789891,海陸機械工程有限公司,基隆市中正區正砂里中正路119巷24號,張朝勝,11000000,73/06/13,115/03/02,股東出資轉讓修正章程,E604010 機械安裝業；E603110 冷作工程業；E603100 電焊工程業；F106010 五金批發業；F113010 機械批發業；F113020 電器批發業；F113030 精密儀器批發業；F214060 船舶及其零件零售業；E599010 配管工程業；E601010 電器承裝業,基隆市,變更,11503
04200199,陽明海運股份有限公司,基隆市七堵區明德一路271號,蔡豐明,34921042700,61/12/29,115/03/02,經理人變更,G402011 海運承攬運送業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,基隆市,變更,11503
12323949,百竣有限公司,基隆市仁愛區明德里忠三路57號,康妙菁,1000000,70/04/08,115/03/25,申登機關變更（遷入，含卷）,,基隆市,變更,11503
