統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00004190,巨茂設計裝潢工程有限公司,宜蘭縣宜蘭市南津里中山路一段533巷19號,鄭善禎,100000,,115/04/24,公司名稱變更修正章程,F203010 食品什貨、飲料零售業；F206020 日常用品零售業；F208040 化粧品零售業；F401010 國際貿易業；I101090 食品顧問業；I103060 管理顧問業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務；E599010 配管工程業；E801010 室內裝潢業；E901010 油漆工程業,宜蘭縣,變更,11504
00009786,豐睿開發有限公司,宜蘭縣五結鄉台興路104號1樓,許康淯,4000000,,115/04/29,一般補正案,E607010 太陽熱能設備安裝工程業；E801070 廚具、衛浴設備安裝工程業；EZ99990 其他工程業；F105050 家具、寢具、廚房器具、裝設品批發業；F111090 建材批發業；F211010 建材零售業；F401010 國際貿易業；F399040 無店面零售業；H201010 一般投資業；H202010 創業投資業,宜蘭縣,變更,11504
00035356,耀宏遊憩有限公司,宜蘭縣宜蘭市大新里和睦路107號七樓,林品豪,150000,,115/04/28,公司所在地,J701080 水域遊憩活動經營業；JE01010 租賃業；J799990 其他休閒服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務；F111090 建材批發業；F213040 精密儀器零售業；F219010 電子材料零售業；IG03010 能源技術服務業；IZ12010 人力派遣業；J101010 建築物清潔服務業,宜蘭縣,變更,11504
00053403,有蟲咬物有限公司,宜蘭縣冬山鄉補城村補城路75號,游承燁,1000000,,115/04/21,公司所營事業變更修正章程,F401010 國際貿易業；C103050 罐頭、冷凍、脫水及醃漬食品製造業；F102170 食品什貨批發業；F501060 餐館業；F501990 其他餐飲業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,宜蘭縣,變更,11504
00055654,茗耀建設有限公司,宜蘭縣宜蘭市建業里凱旋路508號12樓之5,吳培錚,10000000,,115/04/13,補繳規費,H703090 不動產買賣業；H703100 不動產租賃業；H701010 住宅及大樓開發租售業；F401010 國際貿易業；F113010 機械批發業；E604010 機械安裝業；EZ99990 其他工程業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,宜蘭縣,變更,11504
00106345,立鑫工程顧問股份有限公司,宜蘭縣羅東鎮北成路2段57巷3號3樓,江信賢,2500000,,115/04/21,公司名稱變更修正章程,E599010 配管工程業；E801010 室內裝潢業；E801020 門窗安裝工程業；E801030 室內輕鋼架工程業；E801040 玻璃安裝工程業；E801070 廚具、衛浴設備安裝工程業；E901010 油漆工程業；EZ99990 其他工程業；F111090 建材批發業；F211010 建材零售業,宜蘭縣,變更,11504
00163627,鎧碁工程有限公司,宜蘭縣冬山鄉丸山村丸山路42號一樓,李玉華,21000000,,115/04/23,增資,F113010 機械批發業；F113990 其他機械器具批發業；F111090 建材批發業；F211010 建材零售業；F213080 機械器具零售業；F213990 其他機械器具零售業；F401010 國際貿易業；E604010 機械安裝業；EZ02010 起重工程業；EZ07010 鑽孔工程業,宜蘭縣,變更,11504
00182878,永輝投資股份有限公司,宜蘭縣宜蘭市女中路二段415巷5號一樓,藍正穎,20000000,,115/04/14,改選董事/監察人(一人法人股東指派董事/監察人),H201010 一般投資業；H703090 不動產買賣業；H703100 不動產租賃業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,宜蘭縣,變更,11504
00185474,和宭水電工程有限公司,宜蘭縣礁溪鄉時潮村大路48-6號1樓,楊進男,10000000,,115/04/27,股東出資轉讓修正章程,E501011 自來水管承裝商；E502010 燃料導管安裝工程業；E599010 配管工程業；E601010 電器承裝業；E601020 電器安裝業；E603040 消防安全設備安裝工程業；E603050 自動控制設備工程業；E603080 交通號誌安裝工程業；E603090 照明設備安裝工程業；E603130 燃氣熱水器承裝業,宜蘭縣,變更,11504
00210987,提栮生技股份有限公司,宜蘭縣羅東鎮東安里光榮路269-17號11樓,吳映廷,1150000,,115/04/21,申登機關變更（遷入，含卷）,IG01010 生物技術服務業；F203010 食品什貨、飲料零售業；F102040 飲料批發業；F121010 食品添加物批發業；F221010 食品添加物零售業；F102170 食品什貨批發業；F204110 布疋、衣著、鞋、帽、傘、服飾品零售業；F399990 其他綜合零售業；F399040 無店面零售業；F199990 其他批發業,宜蘭縣,變更,11504
12724846,金斧工程有限公司,宜蘭縣羅東鎮東安里光榮路269之17號11樓,黃崇豪,1000000,,115/04/21,公司所在地,A102020 農產品整理業；A102050 作物栽培服務業；A102080 園藝服務業；A199990 其他農業；A201010 造林業；C901030 水泥製造業；C901050 水泥及混凝土製品製造業；C901060 耐火材料製造業；C901070 石材製品製造業；C901990 其他非金屬礦物製品製造業,宜蘭縣,變更,11504
13015836,金堅有限公司,宜蘭縣冬山鄉太和村太和路517號1樓,林美英,8000000,,115/04/10,增資,F211010 建材零售業；F109070 文教、樂器、育樂用品批發業；F209060 文教、樂器、育樂用品零售業；F113020 電器批發業；F213010 電器零售業；F113030 精密儀器批發業；F213030 電腦及事務性機器設備零售業；F113050 電腦及事務性機器設備批發業；F213040 精密儀器零售業；F401010 國際貿易業,宜蘭縣,變更,11504
15422540,麒麟大飯店股份有限公司,宜蘭縣礁溪鄉礁溪路五段116號,黃則揚,241036000,,115/04/14,修正章程,J901011 觀光旅館業；J901020 一般旅館業；F501060 餐館業；F203020 菸酒零售業；F203010 食品什貨、飲料零售業；F399990 其他綜合零售業；G202010 停車場經營業；H201010 一般投資業；H701010 住宅及大樓開發租售業；H701020 工業廠房開發租售業,宜蘭縣,變更,11504
16253780,百豐營造股份有限公司,宜蘭縣冬山鄉群英村冬山路五段311號1樓,林顯光,205000000,,115/04/07,公司所營事業變更修正章程,E101011 綜合營造業；A102080 園藝服務業；F111090 建材批發業；F401010 國際貿易業；G202010 停車場經營業；J101010 建築物清潔服務業；J101990 其他環境衛生及污染防治服務業；JE01010 租賃業；F113010 機械批發業；F213080 機械器具零售業,宜蘭縣,變更,11504
16914327,頭城休閒旅館股份有限公司,宜蘭縣頭城鎮更新里更新路125-2號,卓志宏,4800000,,115/04/07,一般補正案,J901020 一般旅館業；A102020 農產品整理業；A102041 休閒農業；C104020 烘焙炊蒸食品製造業；F203010 食品什貨、飲料零售業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,宜蘭縣,變更,11504
22403246,台灣丁基膠業股份有限公司,宜蘭縣五結鄉五濱路一段82號,周克華,100000000,,115/04/23,補繳規費,C804020 工業用橡膠製品製造業；F401010 國際貿易業；H201010 一般投資業；CH01010 體育用品製造業；F109070 文教、樂器、育樂用品批發業；F209060 文教、樂器、育樂用品零售業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,宜蘭縣,變更,11504
23276303,川福企業股份有限公司,宜蘭縣羅東鎮大新里站前路18號,吳進東,5000000,,115/04/09,改選董事/監察人(一人法人股東指派董事/監察人),,宜蘭縣,變更,11504
