統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00018758,定宏房地產開發有限公司,新竹縣竹北市中興里福興東路二段121號,何俊達,400000,,115/06/12,一般補正案,H704031 不動產仲介經紀業；H201010 一般投資業；H202010 創業投資業；H703090 不動產買賣業；H703100 不動產租賃業；I199990 其他顧問服務業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務；H704041 不動產代銷經紀業；E801010 室內裝潢業；E901010 油漆工程業,新竹縣,變更,11506
00031339,景晶科技股份有限公司,新竹縣湖口鄉光復北路17號3樓,孫佳成,210000000,,115/06/17,補繳規費,CC01080 電子零組件製造業；F119010 電子材料批發業；F219010 電子材料零售業；I501010 產品設計業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,變更,11506
00032230,逸登有限公司,新竹縣芎林鄉文昌街廣福巷31號一樓,劉冠霆,500000,,115/06/01,公司所營事業變更修正章程,F106010 五金批發業；F106020 日常用品批發業；F203010 食品什貨、飲料零售業；F204110 布疋、衣著、鞋、帽、傘、服飾品零售業；F205040 家具、寢具、廚房器具、裝設品零售業；F206020 日常用品零售業；F207030 清潔用品零售業；F208040 化粧品零售業；F209060 文教、樂器、育樂用品零售業；F213010 電器零售業,新竹縣,變更,11506
00055937,九一趨勢實業有限公司,新竹縣竹北市鹿場里自強七街33號5樓,黃國棟,500000,,115/06/26,補繳規費,F113010 機械批發業；F113030 精密儀器批發業；JE01010 租賃業；F108040 化粧品批發業；I199990 其他顧問服務業；F102170 食品什貨批發業；F401010 國際貿易業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F113020 電器批發業；F106010 五金批發業,新竹縣,變更,11506
00057034,慈鼎教育有限公司,新竹縣竹北市科大二街５７號,鄧元智,50000,,115/06/25,一般補正案,F109070 文教、樂器、育樂用品批發業；F209060 文教、樂器、育樂用品零售業；F399040 無店面零售業；I103060 管理顧問業；I199990 其他顧問服務業；I301010 資訊軟體服務業；I301020 資料處理服務業；I301030 電子資訊供應服務業；I401010 一般廣告服務業；J202010 產業育成業,新竹縣,變更,11506
00131626,鋕民國際股份有限公司,新竹縣竹北市斗崙里32鄰縣政二路南段72號12樓之7,魏瓊文,600000,,115/06/11,公司所營事業變更修正章程,F102170 食品什貨批發業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F107030 清潔用品批發業；F109070 文教、樂器、育樂用品批發業；F203010 食品什貨、飲料零售業；F204110 布疋、衣著、鞋、帽、傘、服飾品零售業；F209060 文教、樂器、育樂用品零售業；F299990 其他零售業；F399040 無店面零售業；F399990 其他綜合零售業,新竹縣,變更,11506
00152635,食貳餐飲股份有限公司,新竹縣竹北市斗崙里光明六路87-5號二樓,林家暐,1500000,,115/06/03,一般補正案,F501060 餐館業；F501050 飲酒店業；F501990 其他餐飲業；F102020 食用油脂批發業；F102030 菸酒批發業；F102040 飲料批發業；F102050 茶葉批發業；F102170 食品什貨批發業；F201010 農產品零售業；F201020 畜產品零售業,新竹縣,變更,11506
00153297,上仟工程有限公司,新竹縣竹北市大眉里中華路1299之11號二樓,葉人菘,100000,,115/06/02,一般補正案,E601010 電器承裝業；E601020 電器安裝業；E603090 照明設備安裝工程業；E801070 廚具、衛浴設備安裝工程業；E599010 配管工程業；E603010 電纜安裝工程業；E603040 消防安全設備安裝工程業；I501010 產品設計業；F106020 日常用品批發業；F111090 建材批發業,新竹縣,變更,11506
00164415,新一智能股份有限公司,新竹縣湖口鄉光復北路20-1號,蔡國新,29000000,,115/06/24,公司外文名稱變更修正章程,CC01080 電子零組件製造業；CC01110 電腦及其週邊設備製造業；I301010 資訊軟體服務業；F118010 資訊軟體批發業；F218010 資訊軟體零售業；I301020 資料處理服務業；I301030 電子資訊供應服務業；I301050 實境體感應用服務業；I401010 一般廣告服務業；I501010 產品設計業,新竹縣,變更,11506
00182429,米克曼尼投資有限公司,新竹縣竹北市成功八路255號1樓,吳松育,7000000,,115/06/18,增資,H201010 一般投資業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,新竹縣,變更,11506
