統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准變更日期,案由或變更事項,營業項目,縣市,清冊,期別
00002860,數位優品國際有限公司,臺北市中山區中山北路3段27號7樓之6,田承明,5500000,,115/06/16,特殊補正,F102170 食品什貨批發業；F113050 電腦及事務性機器設備批發業；F113070 電信器材批發業；F119010 電子材料批發業；F199990 其他批發業；F203010 食品什貨、飲料零售業；F213010 電器零售業；F213030 電腦及事務性機器設備零售業；F213080 機械器具零售業；F219010 電子材料零售業,臺北市,變更,11506
00002952,昱成資產管理顧問有限公司,臺北市內湖區文湖街82號2樓,吳冠緯,20000000,,115/06/16,增資,I102010 一般投資顧問業；I103060 管理顧問業；I199990 其他顧問服務業；I301010 資訊軟體服務業；I301020 資料處理服務業；I301030 電子資訊供應服務業；IZ99990 其他工商服務業；F401010 國際貿易業；F218010 資訊軟體零售業；J202010 產業育成業,臺北市,變更,11506
00012558,群曜數位科技股份有限公司,臺北市中山區民權東路3段65號1樓,張松鑌,250000000,,115/06/22,特殊補正,CB01010 機械設備製造業；CC01060 有線通信機械器材製造業；CC01070 無線通信機械器材製造業；CC01080 電子零組件製造業；CC01120 資料儲存媒體製造及複製業；E601010 電器承裝業；E601020 電器安裝業；E603010 電纜安裝工程業；E603040 消防安全設備安裝工程業；E603050 自動控制設備工程業,臺北市,變更,11506
00016180,創豐年代股份有限公司,臺北市中山區中山北路3段27號7樓之6,蘇瑋婷,330000,,115/06/11,特殊補正,ZZ99999 除許可業務外，得經營法令非禁止或限制之業務；F102170 食品什貨批發業；F105050 家具、寢具、廚房器具、裝設品批發業；F106020 日常用品批發業；F107030 清潔用品批發業；F108040 化粧品批發業；F399040 無店面零售業；I103060 管理顧問業；I301010 資訊軟體服務業；I301020 資料處理服務業,臺北市,變更,11506
00022492,合穎國際有限公司,臺北市文山區保儀路77巷1號,周愛玲,500000,,115/06/29,特殊補正,C199030 即食餐食製造業；C199010 麵條、粉條類食品製造業；C104020 烘焙炊蒸食品製造業；F102170 食品什貨批發業；F108040 化粧品批發業；F206050 寵物食品及其用品零售業；F208040 化粧品零售業；F199990 其他批發業；F299990 其他零售業；F399040 無店面零售業,臺北市,變更,11506
00022704,金世德時尚國際有限公司,臺北市中山區民生東路1段72號2樓之2,吳中錡,1000000,,115/06/30,特殊補正,F107020 染料、顏料批發業；F108040 化粧品批發業；F199990 其他批發業；F206020 日常用品零售業；F208040 化粧品零售業；F213990 其他機械器具零售業；F218010 資訊軟體零售業；F299990 其他零售業；F399990 其他綜合零售業；F399040 無店面零售業,臺北市,變更,11506
00023555,賧久古有限公司,臺北市大同區重慶北路2段198號1樓,盧峮毅,100000,,115/06/01,股東出資轉讓修正章程,F501060 餐館業；F501030 飲料店業；F102170 食品什貨批發業；F102040 飲料批發業；F104110 布疋、衣著、鞋、帽、傘、服飾品批發業；F105050 家具、寢具、廚房器具、裝設品批發業；F109070 文教、樂器、育樂用品批發業；F202010 飼料零售業；F203020 菸酒零售業；F203010 食品什貨、飲料零售業,臺北市,變更,11506
00027567,欣澄整合行銷有限公司,臺北市南港區研究院路2段70巷10弄8號5樓,王華欣,5513914,,115/06/04,增資,E599010 配管工程業；E601020 電器安裝業；E603040 消防安全設備安裝工程業；E603050 自動控制設備工程業；E603090 照明設備安裝工程業；E605010 電腦設備安裝業；E701040 簡易電信設備安裝業；E801010 室內裝潢業；E801020 門窗安裝工程業；E801030 室內輕鋼架工程業,臺北市,變更,11506
00029256,香港商希杰娛樂媒體香港有限公司,臺北市中山區南京東路三段168號15樓之２,JUNG SUNG HOON,44500000,,115/06/02,一般補正案,J401010 電影片製作業；J402010 電影片發行業；J503020 電視節目製作業；J503030 廣播電視節目發行業；J503040 廣播電視廣告業；J601010 藝文服務業；J602010 演藝活動業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,臺北市,變更,11506
00032750,善漾股份有限公司,臺北市大安區瑞安街61巷1弄3號1樓,杜冠鋐,9800000,,115/06/25,特殊補正,JZ99080 美容美髮服務業；F208040 化粧品零售業；ZZ99999 除許可業務外，得經營法令非禁止或限制之業務,臺北市,變更,11506
